1,Empty and echoing.
3,"Empty and echoing, but contains vast outlines of what must have been immense machines or machine components that have since been removed."
5,"Empty and echoing, but contains vast outlines of what must have been immense machines or machine components that have since been removed, except slender trees with black bark have sprung up in a soft layer of drit and dust."
7,"Empty and echoing, but contains vast outlines of what must have been immense machines or machine components that have since been removed, except spiders, worms, and similar vermin are thick in the area, infesting a few large masses that turn out to be the bones of long-dead creatures that were very, very large."
9,"Empty and echoing, but contains vast outlines of what must have been immense machines or machine components that have since been removed, except one of the outlines seems like it might have been of a massive human shape."
11,"Filled with immense, dead, corroded, long-silent machine components fused to interior. Each character who spends several hours clambering over the vast dead engines can find one or two cyphers and 1d20 shins, but must succeed on one level 3 Speed defense task to avoid slipping and falling from a great height (d100 feet)."
13,"Filled with immense, dead, corroded, long-silent machine components fused to interior. Each character who spends several hours clambering over the vast dead engines can find one or two cyphers and 1d20 shins, but must succeed on one level 3 Speed defense task to avoid slipping and falling from a great height (d100 feet), but contains a lair for a creature."
15,"Filled with immense, dead, corroded, long-silent machine components fused to interior. Each character who spends several hours clambering over the vast dead engines can find one or two cyphers and 1d20 shins, but must succeed on one level 3 Speed defense task to avoid slipping and falling from a great height (d100 feet), but the footing is far more dangerous due to a slick of oil-like fluid coating everything; moving safely around the chamber and avoiding falling requires a successful level 5 Speed defense task."
17,"Filled with immense, dead, corroded, long-silent machine components fused to interior. Each character who spends several hours clambering over the vast dead engines can find one or two cyphers and 1d20 shins, but must succeed on one level 3 Speed defense task to avoid slipping and falling from a great height (d100 feet), but a strange rust covers the mechanism and acts like a contact poison."
19,"Filled with immense, dead, corroded, long-silent machine components fused to interior. Each character who spends several hours clambering over the vast dead engines can find one or two cyphers and 1d20 shins, but must succeed on one level 3 Speed defense task to avoid slipping and falling from a great height (d100 feet), but several dead humans lie at the foot of the great machines. Investigation reveals they've been looted, but also that some of them have had their faces flayed off and sewn back on again with synth thread."
21,"Filled with immense, partially functioning, colossal machine components fused to walls and ceiling high above. The components whir, vibrate, and give off a constant bass roar that is difficult to endure over long periods. Each character who spends several hours clambering over the vast degraded devices can find one or two cyphers and 1d20 shins, but must succeed on one level 3 Speed defense task to avoid slipping and falling from a great height (d100 feet), and one level 3 Intellect task to avoid causing a local malfunction."
23,"Filled with immense, partially functioning, colossal machine components fused to walls and ceiling high above. The components whir, vibrate, and give off a constant bass roar that is difficult to endure over long periods. Each character who spends several hours clambering over the vast degraded devices can find one or two cyphers and 1d20 shins, but must succeed on one level 3 Speed defense task to avoid slipping and falling from a great height (d100 feet), and one level 3 Intellect task to avoid causing a local malfunction; however, characters who spend a few hours studying the machines might discover that they could be induced to attach a massive (house-sized) device capable of creating an amazing amount of thrust, enough to potentially launch the object into space or even farther."
25,"Filled with immense, partially functioning, colossal machine components fused to walls and ceiling high above. The components whir, vibrate, and give off a constant bass roar that is difficult to endure over long periods. Each character who spends several hours clambering over the vast degraded devices can find one or two cyphers and 1d20 shins, but must succeed on one level 3 Speed defense task to avoid slipping and falling from a great height (d100 feet), and one level 3 Intellect task to avoid causing a local malfunction; however, characters who spend a few hours studying the machines might discover that they could be induced to suck all the metal out of a very large object and deliver a metallic ingot of the stolen metals. The process inflicts 10 points of damage to a living creature and causes them to descend one step on the damage track."
27,"Filled with immense, partially functioning, colossal machine components fused to walls and ceiling high above. The components whir, vibrate, and give off a constant bass roar that is difficult to endure over long periods. Each character who spends several hours clambering over the vast degraded devices can find one or two cyphers and 1d20 shins, but must succeed on one level 3 Speed defense task to avoid slipping and falling from a great height (d100 feet), and one level 3 Intellect task to avoid causing a local malfunction; however, characters who spend a few hours studying the machines might discover that they could be induced to extrude massive (house-sized) crystal solids that glimmer internally but have no obvious purpose."
29,"Filled with immense, partially functioning, colossal machine components fused to walls and ceiling high above. The components whir, vibrate, and give off a constant bass roar that is difficult to endure over long periods. Each character who spends several hours clambering over the vast degraded devices can find one or two cyphers and 1d20 shins, but must succeed on one level 3 Speed defense task to avoid slipping and falling from a great height (d100 feet), and one level 3 Intellect task to avoid causing a local malfunction; however, characters who spend a few hours studying the machines might discover that they could be induced to plate an arbitrarily large object with a level 4 synth coating that grants +4 to Armor (the process would kill human-sized creatures, essentially encasing them in a chunk of solid synth)."
31,"Filled with immense, partially functioning, colossal machine components fused to walls and ceiling high above. The components whir, vibrate, and give off a constant bass roar that is difficult to endure over long periods. Each character who spends several hours clambering over the vast degraded devices can find one or two cyphers and 1d20 shins, but must succeed on one level 3 Speed defense task to avoid slipping and falling from a great height (d100 feet), and one level 3 Intellect task to avoid causing a local malfunction, but roll on the Integrated Machine Table to see what these machines might do. However, the ones found in an interstitial cavity would create the stated effect on a far grander scale, which means effects that might normally enhance or aid a human-sized creature will instead probably kill them."
33,"Filled with immense, partially functioning, colossal machine components fused to walls and ceiling high above. The components whir, vibrate, and give off a constant bass roar that is difficult to endure over long periods. Each character who spends several hours clambering over the vast degraded devices can find one or two cyphers and 1d20 shins, but must succeed on one level 3 Speed defense task to avoid slipping and falling from a great height (d100 feet), and one level 3 Intellect task to avoid causing a local malfunction, but an entity has previously entered the chamber and scribed in a silvery metallic ink across the machine surfaces what are essentially “margin notes” to help those new to the area figure out what the vast machines might do."
